wrist_roll_L,wrist_roll_F,grip_L,grip_F,raw_L,raw_F
-37.2,-37.4,59.4,58.9,2138,1707
-37.1,-37.4,59.4,58.9,2139,1707
-36.8,-37.4,59.4,58.9,2139,1707
-36.7,-37.4,59.4,58.9,2139,1707
-36.2,-37.3,59.4,58.9,2139,1707
-35.8,-37.2,59.4,58.9,2139,1707
-35.2,-37.0,59.4,58.9,2139,1707
-34.7,-36.8,59.4,58.9,2139,1707
-34.0,-36.5,59.4,58.9,2139,1707
-33.2,-36.0,59.4,58.9,2139,1707
-32.5,-35.5,59.3,58.9,2139,1707
-31.6,-34.9,59.3,58.9,2140,1707
-30.6,-34.3,59.4,58.9,2139,1707
-29.7,-33.5,59.4,58.9,2139,1707
-28.7,-32.9,59.4,58.9,2140,1707
-27.7,-32.1,59.3,58.9,2140,1707
-26.3,-31.2,59.3,58.9,2140,1707
-25.2,-30.3,59.3,58.9,2140,1707
-24.1,-29.3,59.3,58.9,2140,1707
-23.1,-28.2,59.3,58.9,2140,1707
-22.0,-27.1,59.3,58.9,2140,1707
-21.3,-26.1,59.3,58.9,2140,1707
-20.6,-25.0,59.3,58.9,2141,1707
-20.1,-23.9,59.2,58.9,2143,1707
-19.9,-22.9,58.8,58.9,2148,1707
-19.9,-22.1,58.6,58.9,2151,1707
-20.0,-21.5,58.5,58.8,2152,1706
-20.2,-20.9,58.5,58.8,2152,1706
-20.5,-20.5,58.6,58.8,2151,1706
-20.8,-20.4,58.6,58.8,2151,1706
-21.2,-20.4,58.6,58.8,2151,1706
-21.6,-20.5,58.6,58.8,2151,1706
-22.0,-20.7,58.6,58.8,2151,1706
-22.4,-20.9,58.6,58.8,2151,1706
-22.8,-21.2,58.6,58.8,2151,1706
-23.3,-21.5,58.6,58.8,2151,1706
-23.7,-21.8,58.6,58.8,2151,1706
-24.2,-22.2,58.6,58.8,2151,1706
-24.7,-22.6,58.6,58.8,2151,1706
-25.0,-23.1,58.6,58.8,2151,1706
-25.2,-23.5,58.6,58.8,2151,1706
-25.2,-24.0,58.6,58.8,2151,1706
-25.2,-24.3,58.6,58.8,2151,1706
-25.2,-24.6,58.6,58.8,2151,1706
-25.3,-24.9,58.6,58.8,2151,1706
-25.3,-25.1,58.6,58.8,2151,1706
-25.3,-25.2,58.6,58.8,2151,1706
-25.3,-25.2,58.6,58.8,2151,1706
-25.3,-25.3,58.6,58.8,2151,1706
-25.3,-25.3,58.6,58.8,2151,1706
-25.3,-25.3,58.6,58.8,2151,1706
-25.3,-25.3,58.6,58.8,2151,1706
-25.3,-25.3,58.6,58.8,2151,1706
-25.3,-25.3,58.6,58.8,2151,1706
-25.3,-25.3,58.6,58.8,2151,1706
-25.3,-25.3,58.6,58.8,2151,1706
-25.3,-25.3,58.6,58.8,2151,1706
-25.3,-25.3,58.6,58.8,2151,1706
-25.3,-25.3,58.6,58.8,2151,1706
-25.3,-25.3,58.6,58.8,2151,1706
-25.3,-25.3,58.6,58.8,2151,1706
-25.3,-25.3,58.6,58.8,2151,1706
-25.3,-25.3,58.6,58.8,2151,1706
-25.3,-25.3,58.6,58.8,2151,1706
-25.3,-25.3,58.6,58.8,2151,1706
-25.3,-25.3,58.6,58.8,2151,1706
-25.3,-25.3,58.5,58.8,2152,1706
-25.3,-25.3,58.5,58.8,2152,1706
-25.3,-25.3,58.5,58.8,2152,1705
-25.3,-25.3,58.5,58.8,2152,1705
-25.3,-25.3,58.4,58.8,2153,1705
-25.3,-25.3,58.4,58.8,2155,1705
-25.3,-25.3,57.9,58.8,2162,1705
-25.3,-25.3,57.5,58.7,2169,1704
-25.3,-25.3,57.0,58.4,2176,1699
-25.4,-25.3,56.4,58.0,2185,1694
-25.4,-25.3,55.9,57.4,2192,1687
-25.4,-25.3,55.6,56.9,2199,1680
-25.4,-25.3,55.1,56.3,2206,1674
-25.4,-25.3,54.6,56.0,2213,1670
-25.4,-25.3,54.2,55.8,2219,1667
-25.4,-25.4,54.0,54.9,2222,1655
-25.4,-25.4,53.8,54.6,2225,1651
-25.4,-25.4,53.5,54.4,2230,1649
-25.4,-25.4,52.7,54.2,2243,1646
-25.4,-25.4,51.7,53.9,2260,1642
-25.4,-25.4,50.7,53.2,2276,1633
-25.3,-25.4,49.4,52.3,2295,1620
